status,title,total_price,price,admin_fee,layout,area,nearest_station,walk_minutes,walking_distance_actual,address,access,url,last_updated,source
active,クオリタス門前仲町,13.4,11.9,1.5,1DK,25.3,門前仲町駅,7,7.0,東京都江東区冬木,"都営大江戸線/門前仲町駅 歩7分
東京メトロ東西線/木場駅 歩12分
東京メトロ半蔵門線/清澄白河駅 歩15分",https://suumo.jp/chintai/jnc_000102493229/?bc=100470109385,2025-12-10 07:32:06,SUUMO
active,コンポジット清澄イースト,13.1,12.6,0.5,1DK,27.0,清澄白河駅,3,3.0,東京都江東区白河２,"東京メトロ半蔵門線/清澄白河駅 歩3分
都営新宿線/菊川駅 歩12分
都営大江戸線/森下駅 歩12分",https://suumo.jp/chintai/jnc_000103316702/?bc=100476588908,2025-12-06 12:02:00,SUUMO
active,CREAL門前仲町II,13.2,12.4,0.8,1DK,25.28,門前仲町駅,6,9.0,東京都江東区冬木,"都営大江戸線/門前仲町駅 歩6分
東京メトロ東西線/木場駅 歩12分
都営大江戸線/清澄白河駅 歩14分",https://suumo.jp/chintai/jnc_000102914572/?bc=100476547293,2025-12-06 12:02:00,SUUMO
active,CREAL門前仲町II,13.4,12.6,0.8,1DK,25.36,門前仲町駅,6,9.0,東京都江東区冬木,"都営大江戸線/門前仲町駅 歩6分
東京メトロ東西線/木場駅 歩12分
都営大江戸線/清澄白河駅 歩14分",https://suumo.jp/chintai/jnc_000101682456/?bc=100462072260,2025-12-06 12:02:00,SUUMO
active,グランド・ガーラ木場,11.0,10.0,1.0,2K,25.51,東陽町駅,6,7.0,東京都江東区東陽１,"東京メトロ東西線/東陽町駅 歩6分
ＪＲ京葉線/潮見駅 歩27分
東京メトロ半蔵門線/清澄白河駅 歩35分",https://suumo.jp/chintai/jnc_000102654802/?bc=100474928143,2025-12-06 12:02:00,SUUMO
active,レジデンス門前仲町スクエア,14.0,12.5,1.5,2K,26.35,門前仲町駅,6,9.0,東京都江東区深川１,"東京メトロ東西線/門前仲町駅 歩6分
東京メトロ半蔵門線/清澄白河駅 歩9分
都営新宿線/森下駅 歩17分",https://suumo.jp/chintai/jnc_000101412419/?bc=100462072463,2025-12-10 03:57:02,SUUMO
active,GENOVIA木場II,13.0,11.5,1.5,2K,25.81,木場駅,7,8.0,東京都江東区東陽１,"東京メトロ東西線/木場駅 歩7分
東京メトロ東西線/東陽町駅 歩8分
ＪＲ京葉線/潮見駅 歩25分",https://suumo.jp/chintai/jnc_000102799324/?bc=100472628005,2025-12-06 12:02:00,SUUMO
active,GENOVIA木場II,13.0,11.5,1.5,2K,25.76,木場駅,7,8.0,東京都江東区東陽１,"東京メトロ東西線/木場駅 歩7分
東京メトロ東西線/東陽町駅 歩8分
ＪＲ京葉線/潮見駅 歩25分",https://suumo.jp/chintai/jnc_000102799329/?bc=100472518505,2025-12-06 12:02:00,SUUMO
active,GENOVIA木場II,13.0,11.5,1.5,1DK,25.76,木場駅,7,8.0,東京都江東区東陽１,"東京メトロ東西線/木場駅 歩7分
東京メトロ東西線/東陽町駅 歩8分
東京メトロ東西線/門前仲町駅 歩20分",https://suumo.jp/chintai/jnc_000102799328/?bc=100472587451,2025-12-08 23:21:52,SUUMO
active,GENOVIA木場II,13.0,11.5,1.5,1DK,25.76,木場駅,7,8.0,東京都江東区東陽１,"東京メトロ東西線/木場駅 歩7分
東京メトロ東西線/東陽町駅 歩8分
ＪＲ京葉線/潮見駅 歩25分",https://suumo.jp/chintai/jnc_000102799325/?bc=100472587520,2025-12-06 12:02:00,SUUMO
